text,emotion
I am rejoicing in the beauty and happiness around me!,happiness
This is unacceptable and maddening!,anger
The meeting is scheduled for tomorrow.,neutral
I am furious and extremely irritated!,anger
The mental strain is too much to handle.,stress
The street is empty right now.,neutral
This is driving me crazy! I am mad!,anger
What a beautiful moment! I am so glad!,happiness
I am frazzled by all my responsibilities.,stress
The workload is crushing me! Anxious!,stress
I am writing notes for my project.,neutral
My heart feels empty and cold.,sadness
I am frazzled and can't focus.,stress
This sadness makes everything dull.,sadness
This stress is making me mentally exhausted.,stress
I am constantly tense and anxious.,stress
I am overflowing with happiness and gratitude!,happiness
The door is closed right now.,neutral
I feel mentally burdened and tense.,stress
I feel hopeless in my sadness.,sadness
This situation is outrageous and maddening!,anger
This sorrow won’t let me breathe.,sadness
I am smiling because life is wonderful!,happiness
"I feel light and happy, everything is great!",happiness
This constant tension is unbearable.,stress
The office opens at 9 AM.,neutral
"I feel thrilled, exuberant, and thankful today!",happiness
I am filled with cheerful energy and bliss!,happiness
Life feels so bright and exciting today!,happiness
The package is on the doorstep.,neutral
I am wrathful about this injustice!,anger
I feel hopeless about the future.,sadness
"I feel tense, anxious, and overburdened.",stress
This is extremely frustrating and irritating!,anger
I am furious at this injustice!,anger
This makes me boil with rage and anger!,anger
Stress is consuming my thoughts.,stress
I am furious and seething with rage!,anger
I feel hopeless and sad.,sadness
This sadness feels endless.,sadness
"Life is amazing, and I am so grateful today!",happiness
I am filled with gratitude and joy!,happiness
My sadness keeps growing stronger.,sadness
I am under so much strain! Help!,stress
I feel like the luckiest person alive today!,happiness
The room temperature is comfortable.,neutral
I feel lost in sadness.,sadness
I am looking for my keys.,neutral
I need to set a reminder for the meeting.,neutral
"Life is so wonderful, I feel blessed!",happiness
The elevator is out of service.,neutral
I am smiling from ear to ear! So good!,happiness
I am smiling because everything is wonderful!,happiness
Life is amazing and I feel it deeply!,happiness
I am tired of feeling this way.,sadness
I am boiling with rage right now!,anger
"Life is wonderful, and I am so thrilled!",happiness
I am frazzled and mentally overworked.,stress
I can't stand this anymore! So frustrated!,anger
The constant pressure is overwhelming me.,stress
Feeling completely joyful and alive!,happiness
I am preparing breakfast.,neutral
I am boiling with anger and fury!,anger
I feel mentally exhausted and pressured.,stress
The anxiety is consuming me completely.,stress
I feel overwhelmed with anxiety.,stress
I am utterly furious at this situation!,anger
My mind is in chaos from stress.,stress
I can't tolerate this nonsense anymore!,anger
I am anxious and frazzled constantly.,stress
This sadness feels endless and deep.,sadness
I feel so down and defeated.,sadness
The keys are on the table.,neutral
Can we reschedule our meeting?,neutral
I am drinking a glass of water.,neutral
I can't believe this stupidity! Furious!,anger
I am experiencing pure joy and happiness right now!,happiness
"I feel amazing, joyful, and alive!",happiness
I feel like crying for no reason.,sadness
I feel stressed from every angle.,stress
I am enraged and want to shout!,anger
I am mentally drained and worried.,stress
My heart hurts so much.,sadness
The restaurant opens at 10 AM.,neutral
I am stressed and mentally drained completely.,stress
Happiness is filling every corner of my heart!,happiness
I feel mentally drained and broken.,sadness
I am enraged beyond words!,anger
This is the best day of my life!,happiness
I am writing a letter.,neutral
The printer is ready to print.,neutral
My heart feels unbearably heavy.,sadness
I am laughing with pure joy!,happiness
"I feel euphoric, happy, and light-hearted today!",happiness
Feeling ecstatic about this wonderful news!,happiness
The stress is consuming my thoughts entirely.,stress
I feel like I'm falling apart.,sadness
I am mad and seething with anger!,anger
This is tearing me apart inside.,sadness
This is infuriating and maddening!,anger
"This is a beautiful, happy day!",happiness
I am furious and can't tolerate this!,anger
The book is on the top shelf.,neutral
Sadness has taken over my life.,sadness
I am enraged and can't calm down!,anger
I am tense and can't find relief.,stress
This is making me lose my temper!,anger
Everything is perfect! Life is beautiful!,happiness
I am furious at this behavior!,anger
I feel overwhelmed and broken.,sadness
I am furious and can't stay calm!,anger
This nonsense is making me lose it!,anger
"I feel radiant, happy, and full of energy!",happiness
I need to charge my phone.,neutral
The bus stop is nearby.,neutral
The deadlines are killing me! Stressed!,stress
The bus arrives at 8 AM every day.,neutral
Sadness has taken over my heart.,sadness
The lights are turned on.,neutral
I feel emotionally isolated.,sadness
The store closes at 9 PM.,neutral
This injustice makes my blood boil!,anger
This pain is deeply overwhelming.,sadness
The train leaves on time today.,neutral
I feel defeated by sadness.,sadness
I feel mentally exhausted and restless.,stress
I feel euphoric and delighted all over!,happiness
I feel anxious and mentally overworked.,stress
"I can't relax, I am so tense.",stress
I feel tired of pretending to be okay.,sadness
I feel mentally trapped and tense.,stress
I feel deeply unhappy and hurt.,sadness
Nothing can bring me down today!,happiness
Everything feels dark and meaningless.,sadness
I feel alone in my suffering.,sadness
I need to replace the batteries.,neutral
I am stressed and constantly worried.,stress
This behavior is maddening!,anger
I am overjoyed with this outcome!,happiness
This is maddening and irritating!,anger
My heart feels shattered into pieces.,sadness
I am dancing with happiness inside!,happiness
I feel furious and annoyed!,anger
I need to finish my homework.,neutral
"I feel cheerful, ecstatic, and alive!",happiness
I am mad and want to scream!,anger
I have a doctor's appointment.,neutral
I am mad and completely seething!,anger
I feel stuck in emotional pain.,sadness
I am furious and utterly frustrated!,anger
I feel mentally overworked and anxious.,stress
I am enraged and extremely frustrated!,anger
I am constantly anxious and worried.,stress
"Life is full of happiness, and I feel it!",happiness
My mind is spiraling out of control.,stress
The laptop is on the desk.,neutral
"This day is amazing, and I am so happy!",happiness
This is provoking me beyond belief!,anger
I am walking on clouds of happiness!,happiness
I feel emotionally drained and broken.,sadness
This is driving me insane with anger!,anger
I hate this so much! It makes me angry!,anger
My heart feels painfully heavy.,sadness
I feel thrilled and over the moon today!,happiness
This pain won’t leave me.,sadness
Today is a fantastic day! Feeling great!,happiness
I feel anxious and overburdened.,stress
What an incredible day! I am ecstatic!,happiness
I am jumping for joy today!,happiness
I am seeing red right now!,anger
I need to organize my files.,neutral
I am so depressed and lonely right now.,sadness
"Life is beautiful, and I am smiling!",happiness
